行政区,楼名称及栋号,三级转移登记时间
罗湖,愉天小区3栋,2016/2/1
罗湖,罗湖大厦2栋,2016/2/1
罗湖,新兴村六栋,2016/2/1
罗湖,滨苑新村17栋,2016/2/1
罗湖,24号大院4栋,2016/2/1
罗湖,鲜花公司综合楼1栋,2016/2/1
罗湖,华丽西村47号,2016/2/1
罗湖,深发花园成发阁,2016/2/1
罗湖,莲通花园C栋,2016/2/1
罗湖,庐山大厦D座(峻峰阁),2016/2/1
罗湖,松泉山庄7栋,2016/2/1
罗湖,泰宁花园A栋,2016/2/1
罗湖,柏丽花园2栋,2016/2/1
罗湖,柏丽花园1栋,2016/2/1
罗湖,福德花园大厦,2016/2/1
罗湖,莲通公司综合楼(A)栋,2016/2/1
罗湖,名仕阁,2016/2/1
罗湖,太白居6栋,2016/2/1
罗湖,金丽豪苑鹏庆阁,2016/2/1
罗湖,鸿基东港大厦(鸿基座),2016/2/1
罗湖,旭飞华天苑B栋,2016/2/1
罗湖,旭飞华天苑B栋,2016/2/1
罗湖,旭飞华天苑B栋,2016/2/1
罗湖,源兴居3栋,2016/2/1
罗湖,骏庭名园,2016/2/1
罗湖,骏庭名园,2016/2/1
罗湖,红岗大厦1栋,2016/2/1
罗湖,红岗大厦1栋,2016/2/1
罗湖,红岗大厦1栋,2016/2/1
罗湖,太阳新城4栋,2016/2/1
罗湖,环岛丽园丽来阁,2016/2/1
罗湖,百仕达花园三期7栋,2016/2/1
罗湖,聚福花园B栋,2016/2/1
罗湖,东方凤雅台2栋,2016/2/1
罗湖,嘉景苑B栋,2016/2/1
罗湖,百仕达8号2栋,2016/2/1
罗湖,金城华庭8栋,2016/2/1
罗湖,景贝南10栋,2016/2/1
罗湖,阳光天地家园B座明月阁,2016/2/1
罗湖,崇德雍翠华府御锦阁,2016/2/1
罗湖,东悦名轩B座,2016/2/1
罗湖,仙湖枫景家园C栋,2016/2/1
罗湖,祥福雅居彩虹阁,2016/2/1
罗湖,金迪名苑A座,2016/2/1
罗湖,鸿翔花园2栋A座,2016/2/1
罗湖,旭飞华达园二期,2016/2/1
罗湖,朗钜御风庭2号楼,2016/2/1
罗湖,新银座B栋,2016/2/1
罗湖,城市天地广场D座,2016/2/1
福田,南天大厦1栋,2016/2/1
福田,黄木岗东区1栋,2016/2/1
福田,爱华宿舍25栋,2016/2/1
福田,园岭新村34栋,2016/2/1
福田,莲花二村3栋,2016/2/1
福田,振业花园01栋,2016/2/1
福田,园岭新村89栋,2016/2/1
福田,莲花二村32栋,2016/2/1
福田,长福花园09栋,2016/2/1
福田,华厦新居3栋(皇圣阁),2016/2/1
福田,园林公司5栋,2016/2/1
福田,莲花二村45栋,2016/2/1
福田,莲花北47栋,2016/2/1
福田,鹏盛村7栋,2016/2/1
福田,怡静苑,2016/2/1
福田,南园住宅区3栋,2016/2/1
福田,益田村35栋,2016/2/1
福田,红荔村19栋,2016/2/1
福田,吉莲大厦1栋,2016/2/1
福田,明月花园1栋,2016/2/1
福田,城市花园38栋,2016/2/1
福田,碧荔花园碧荔阁,2016/2/1
福田,鹏盛村高层公寓1栋,2016/2/1
福田,鹏盛村高层公寓2栋,2016/2/1
福田,国皇大厦龙云阁,2016/2/1
福田,新中苑,2016/2/1
福田,东方玫瑰花园20栋,2016/2/1
福田,合正园,2016/2/1
福田,旭飞花园B栋,2016/2/1
福田,福昌苑3栋,2016/2/1
福田,玉丰楼B栋,2016/2/1
福田,泰安轩A，B座,2016/2/1
福田,天安高尔夫海景花园,2016/2/1
福田,长怡花园A栋,2016/2/1
福田,黄埔雅苑翠悠园3A-6栋,2016/2/1
福田,温馨家园1号楼,2016/2/1
福田,雨田村雨禾楼,2016/2/1
福田,康欣园(A、B栋),2016/2/1
福田,鹏丽大厦,2016/2/1
福田,御庭园,2016/2/1
福田,松岭路39#大院2栋,2016/2/1
福田,恒星园2号楼,2016/2/1
福田,益田村102栋,2016/2/1
福田,紫光名苑塔楼,2016/2/1
福田,景秀年华家园D栋,2016/2/1
福田,单身宿舍第04栋,2016/2/1
福田,都会100大厦银都,2016/2/1
福田,汇港名苑,2016/2/1
福田,皇岗星河华居,2016/2/1
福田,益田豪园居1栋,2016/2/1
福田,港田华园B座,2016/2/1
福田,港田华园B座,2016/2/1
福田,南光捷佳大厦,2016/2/1
福田,福昌大厦,2016/2/1
福田,益田村121栋,2016/2/1
福田,金域蓝湾4号楼,2016/2/1
福田,蓝湾半岛社区B栋,2016/2/1
福田,鹏盛年华公寓A栋,2016/2/1
福田,鹏盛年华公寓A栋,2016/2/1
福田,皇都广场1号楼,2016/2/1
福田,皇都广场2号楼,2016/2/1
福田,嘉洲华苑2栋,2016/2/1
福田,皇御苑B区14栋,2016/2/1
福田,金域蓝湾6号楼,2016/2/1
福田,香蜜湖水榭花都倚湖居1栋,2016/2/1
福田,城市杰座名苑1栋,2016/2/1
福田,盛世家园（二期）丁栋8号楼,2016/2/1
福田,彩田村14栋,2016/2/1
福田,深业.岭秀名苑B座,2016/2/1
福田,晨晖家园2座,2016/2/1
福田,发展兴苑2号楼（玉兰阁）,2016/2/1
福田,翰岭花园3栋,2016/2/1
南山,紫竹园住宅楼14栋,2016/2/1
南山,紫竹园住宅楼14栋,2016/2/1
南山,桃花园C栋,2016/2/1
南山,中新街12栋,2016/2/1
南山,南贸中心3栋,2016/2/1
南山,科技园34小区12栋,2016/2/1
南山,月亮湾花园17栋,2016/2/1
南山,广物花园2栋,2016/2/1
南山,华联花园8栋,2016/2/1
南山,南海明珠住宅1栋,2016/2/1
南山,深南花园B座,2016/2/1
南山,南光花园7栋,2016/2/1
南山,新浩城花园5栋,2016/2/1
南山,荔苑小区22栋,2016/2/1
南山,侨洲花园D24(绿景公寓),2016/2/1
南山,招商名仕花园8栋,2016/2/1
南山,爱榕园住宅楼23栋,2016/2/1
南山,新浩城花园新景阁,2016/2/1
南山,麒麟花园A区12栋,2016/2/1
南山,朗景园F栋,2016/2/1
南山,万象新园倚天阁（A栋）,2016/2/1
南山,创世纪滨海花园10座,2016/2/1
南山,龙辉花园16栋,2016/2/1
南山,心语家园,2016/2/1
南山,四达大厦,2016/2/1
南山,阳光棕榈园4栋,2016/2/1
南山,西海湾花园B区,2016/2/1
南山,中山颐景花园景园,2016/2/1
南山,万象新园（D栋）,2016/2/1
南山,鼎太风华社区D栋,2016/2/1
南山,苏豪名厦,2016/2/1
南山,深圳湾畔花园,2016/2/1
南山,南海玫瑰花园23栋,2016/2/1
南山,现代城梦想家园,2016/2/1
南山,金海岸大厦,2016/2/1
南山,红树东方家园10栋(碧海云天二期),2016/2/1
南山,鼎太风华社区K栋,2016/2/1
南山,悠然居,2016/2/1
南山,绿海名都1栋,2016/2/1
南山,现代城华庭2栋,2016/2/1
南山,现代城华庭3栋,2016/2/1
南山,英达.钰龙园D栋,2016/2/1
南山,海阔天空雅居A栋,2016/2/1
南山,海阔天空雅居D栋,2016/2/1
南山,南国丽城花园6栋,2016/2/1
宝安,二十四区商住楼F栋,2016/2/1
宝安,泰华商业城一栋,2016/2/1
宝安,弘雅花园二期九栋,2016/2/1
宝安,雅仕阁一栋,2016/2/1
宝安,丰润花园F8栋,2016/2/1
宝安,榕苑第三栋,2016/2/1
宝安,金碧世家2栋,2016/2/1
宝安,龙翔山庄A6栋,2016/2/1
宝安,龙翔山庄B15栋,2016/2/1
宝安,洪福雅苑一栋,2016/2/1
宝安,新安湖花园新文阁,2016/2/1
宝安,桃源居14区11栋,2016/2/1
宝安,西海岸花园海逸阁,2016/2/1
宝安,福中福花园3栋,2016/2/1
宝安,桃源居14区8B栋,2016/2/1
宝安,世纪春城1栋,2016/2/1
宝安,御龙居8栋,2016/2/1
宝安,流塘大厦一栋,2016/2/1
宝安,翠景居A1栋,2016/2/1
宝安,汇龙苑8栋,2016/2/1
宝安,白金酒店公寓1栋,2016/2/1
宝安,都市翠海华苑1栋,2016/2/1
宝安,碧海名园C栋,2016/2/1
宝安,泰华*俊庭(1栋),2016/2/1
宝安,兴华花园6栋,2016/2/1
宝安,香缤广场1栋,2016/2/1
宝安,香缤广场1栋,2016/2/1
宝安,美丽AAA花园1栋,2016/2/1
宝安,天悦龙庭B栋,2016/2/1
宝安,天悦龙庭B栋,2016/2/1
宝安,富源*滨海春城1栋,2016/2/1
宝安,潜龙*鑫茂花园A区2栋,2016/2/1
宝安,西城上筑花园1栋,2016/2/1
宝安,西城上筑花园2栋,2016/2/1
宝安,鸿隆广场1栋,2016/2/1
宝安,春华四季园9栋,2016/2/1
宝安,圣莫丽斯花园A37栋,2016/2/1
宝安,碧海富通城C栋,2016/2/1
宝安,桃源盛景园7栋,2016/2/1
宝安,桃源盛景园18栋,2016/2/1
宝安,西岸观邸花园1栋,2016/2/1
宝安,西岸观邸花园1栋,2016/2/1
宝安,绿海名居5号楼,2016/2/1
宝安,白金假日公寓1栋,2016/2/1
宝安,深业*新岸线10栋,2016/2/1
宝安,香缇雅苑1＃楼,2016/2/1
宝安,春华四季园26栋,2016/2/1
宝安,宏发领域花园3栋,2016/2/1
宝安,碧海富通城2栋,2016/2/1
宝安,碧海富通城3栋,2016/2/1
宝安,碧水龙庭3栋,2016/2/1
宝安,中海西岸华府11栋,2016/2/1
宝安,碧海富通城8栋,2016/2/1
